0, 1
1e-06, 0.99
2e-06, 0.9801
3e-06, 0.970299
4e-06, 0.960596
5e-06, 0.95099
6e-06, 0.94148
7e-06, 0.932065
8e-06, 0.922745
9e-06, 0.913517
1e-05, 0.904382
1.1e-05, 0.895338
1.2e-05, 0.886385
1.3e-05, 0.877521
1.4e-05, 0.868746
1.5e-05, 0.860058
1.6e-05, 0.851458
1.7e-05, 0.842943
1.8e-05, 0.834514
1.9e-05, 0.826169
2e-05, 0.817907
2.1e-05, 0.809728
2.2e-05, 0.801631
2.3e-05, 0.793614
2.4e-05, 0.785678
2.5e-05, 0.777821
2.6e-05, 0.770043
2.7e-05, 0.762343
2.8e-05, 0.754719
2.9e-05, 0.747172
3e-05, 0.7397
3.1e-05, 0.732303
3.2e-05, 0.72498
3.3e-05, 0.717731
3.4e-05, 0.710553
3.5e-05, 0.703448
3.6e-05, 0.696413
3.7e-05, 0.689449
3.8e-05, 0.682555
3.9e-05, 0.675729
4e-05, 0.668972
4.1e-05, 0.662282
4.2e-05, 0.655659
4.3e-05, 0.649103
4.4e-05, 0.642612
4.5e-05, 0.636185
4.6e-05, 0.629824
4.7e-05, 0.623525
4.8e-05, 0.61729
4.9e-05, 0.611117
5e-05, 0.605006
5.1e-05, 0.598956
5.2e-05, 0.592966
5.3e-05, 0.587037
5.4e-05, 0.581166
5.5e-05, 0.575355
5.6e-05, 0.569601
5.7e-05, 0.563905
5.8e-05, 0.558266
5.9e-05, 0.552683
6e-05, 0.547157
6.1e-05, 0.541685
6.2e-05, 0.536268
6.3e-05, 0.530906
6.4e-05, 0.525596
6.5e-05, 0.520341
6.6e-05, 0.515137
6.7e-05, 0.509986
6.8e-05, 0.504886
6.9e-05, 0.499837
7e-05, 0.494839
7.1e-05, 0.48989
7.2e-05, 0.484991
7.3e-05, 0.480141
7.4e-05, 0.47534
7.5e-05, 0.470587
7.6e-05, 0.465881
7.7e-05, 0.461222
7.8e-05, 0.45661
7.9e-05, 0.452044
8e-05, 0.447523
8.1e-05, 0.443048
8.2e-05, 0.438618
8.3e-05, 0.434231
8.4e-05, 0.429889
8.5e-05, 0.42559
8.6e-05, 0.421334
8.7e-05, 0.417121
8.8e-05, 0.41295
8.9e-05, 0.40882
9e-05, 0.404732
9.1e-05, 0.400685
9.2e-05, 0.396678
9.3e-05, 0.392711
9.4e-05, 0.388784
9.5e-05, 0.384896
9.6e-05, 0.381047
9.7e-05, 0.377237
9.8e-05, 0.373464
9.9e-05, 0.36973
0.0001, 0.366032
0.000101, 0.362372
0.000102, 0.358748
0.000103, 0.355161
0.000104, 0.351609
0.000105, 0.348093
0.000106, 0.344612
0.000107, 0.341166
0.000108, 0.337754
0.000109, 0.334377
0.00011, 0.331033
0.000111, 0.327723
0.000112, 0.324446
0.000113, 0.321201
0.000114, 0.317989
0.000115, 0.314809
0.000116, 0.311661
0.000117, 0.308544
0.000118, 0.305459
0.000119, 0.302404
0.00012, 0.29938
0.000121, 0.296387
0.000122, 0.293423
0.000123, 0.290488
0.000124, 0.287584
0.000125, 0.284708
0.000126, 0.281861
0.000127, 0.279042
0.000128, 0.276252
0.000129, 0.273489
0.00013, 0.270754
0.000131, 0.268047
0.000132, 0.265366
0.000133, 0.262713
0.000134, 0.260085
0.000135, 0.257485
0.000136, 0.25491
0.000137, 0.252361
0.000138, 0.249837
0.000139, 0.247339
0.00014, 0.244865
0.000141, 0.242417
0.000142, 0.239992
0.000143, 0.237593
0.000144, 0.235217
0.000145, 0.232864
0.000146, 0.230536
0.000147, 0.22823
0.000148, 0.225948
0.000149, 0.223689
0.00015, 0.221452
0.000151, 0.219237
0.000152, 0.217045
0.000153, 0.214874
0.000154, 0.212726
0.000155, 0.210598
0.000156, 0.208492
0.000157, 0.206408
0.000158, 0.204343
0.000159, 0.2023
0.00016, 0.200277
0.000161, 0.198274
0.000162, 0.196292
0.000163, 0.194329
0.000164, 0.192385
0.000165, 0.190461
0.000166, 0.188557
0.000167, 0.186671
0.000168, 0.184805
0.000169, 0.182957
0.00017, 0.181127
0.000171, 0.179316
0.000172, 0.177523
0.000173, 0.175747
